Time_Seconds,SNR_dB,Label
0,25.0551,0
1,25.0101,0
2,24.9957,0
3,25.2308,0
4,24.6218,0
5,24.777,0
6,25.0045,0
7,25.1029,0
8,25.1831,0
9,25.1148,0
10,25.4305,0
11,25.0215,0
12,24.8142,0
13,24.9677,0
14,25.0684,0
15,24.9842,0
16,25.0102,0
17,24.8159,0
18,25.1053,0
19,25.2639,0
20,24.8913,0
21,25.2654,0
22,25.1325,0
23,24.8066,0
24,24.7725,0
25,25.3541,0
26,25.0427,0
27,24.9203,0
28,25.1137,0
29,25.0292,0
30,24.8772,0
31,25.0196,0
32,25.0651,0
33,25.076,0
34,24.9943,0
35,24.8111,0
36,25.1144,0
37,24.8195,0
38,25.3565,0
39,25.118,0
40,24.8335,0
41,25.0033,0
42,25.2106,0
43,24.8593,0
44,24.8526,0
45,24.9823,0
46,24.9905,0
47,25.0478,0
48,24.8794,0
49,25.119,0
50,25.1794,0
51,25.1343,0
52,25.2102,0
53,24.7664,0
54,24.8193,0
55,24.9488,0
56,24.8051,0
57,25.0166,0
58,25.0173,0
59,25.0915,0
60,25.1314,0
61,24.6806,0
62,25.3843,0
63,25.0429,0
64,24.9874,0
65,24.9236,0
66,25.3723,0
67,24.9806,0
68,24.7837,0
69,24.8806,0
70,25.1834,0
71,25.2694,0
72,24.7654,0
73,25.2323,0
74,24.9991,0
75,25.1611,0
76,24.8415,0
77,25.0558,0
78,24.8301,0
79,25.1832,0
80,25.1471,0
81,25.1703,0
82,24.898,0
83,25.119,0
84,25.0061,0
85,25.2939,0
86,24.8557,0
87,24.8123,0
88,24.9079,0
89,25.0052,0
90,24.9209,0
91,24.9489,0
92,25.0764,0
93,25.1756,0
94,25.0754,0
95,25.1498,0
96,25.1478,0
97,24.9113,0
98,25.1598,0
99,24.9933,0
100,24.8079,0
101,24.9524,0
102,24.6744,0
103,25.098,0
104,25.235,0
105,25.1311,0
106,25.1659,0
107,25.169,0
108,25.214,0
109,24.9942,0
110,24.5233,0
111,25.0306,0
112,25.0839,0
113,25.0432,0
114,24.6748,0
115,24.8928,0
116,24.8618,0
