Time_Seconds,SNR_dB,Label
0,24.9833,0
1,25.0311,0
2,25.0015,0
3,24.9295,0
4,25.0365,0
5,25.0237,0
6,24.9418,0
7,25.017,0
8,25.0538,0
9,25.016,0
10,25.001,0
11,24.9774,0
12,25.0119,0
13,25.1197,0
14,24.979,0
15,25.0508,0
16,24.9101,0
17,24.9824,0
18,24.891,0
19,25.067,0
20,24.8646,0
21,24.9899,0
22,25.1302,0
23,25.0215,0
24,25.1006,0
25,24.9617,0
26,25.0662,0
27,25.1162,0
28,24.8546,0
29,24.9431,0
30,24.9937,0
31,24.9186,0
32,24.9435,0
33,24.9712,0
34,24.9753,0
35,25.0287,0
36,25.1306,0
37,25.1334,0
38,25.0932,0
39,24.8494,0
40,25.0056,0
41,24.9419,0
42,24.8705,0
43,24.9589,0
44,25.1076,0
45,24.966,0
46,25.0824,0
47,24.954,0
48,24.9588,0
49,25.059,0
50,24.9581,0
51,24.9207,0
52,25.0046,0
53,25.0564,0
54,25.0429,0
55,25.0461,0
56,24.8279,0
57,25.1039,0
58,24.991,0
59,25.0156,0
60,24.9639,0
61,24.933,0
62,25.0484,0
63,25.0879,0
64,24.9588,0
65,24.9097,0
66,25.0745,0
67,25.1179,0
68,24.9555,0
69,25.0092,0
70,25.0216,0
71,25.0468,0
72,25.032,0
73,24.9663,0
74,25.0332,0
75,25.0567,0
76,24.9444,0
77,25.1294,0
78,25.0726,0
79,25.086,0
80,24.9458,0
81,24.9752,0
82,24.9276,0
83,24.9537,0
84,25.0959,0
85,24.9477,0
86,25.101,0
87,25.0522,0
88,24.9636,0
89,24.9753,0
90,24.888,0
91,25.0081,0
92,24.8601,0
93,24.9358,0
94,24.9972,0
95,25.0233,0
96,25.03,0
97,24.9935,0
98,24.9771,0
99,24.9791,0
100,24.9752,0
101,24.9984,0
102,25.0646,0
103,25.0781,0
104,24.9505,0
105,24.979,0
106,24.9195,0
107,25.0162,0
108,25.0443,0
109,25.0702,0
110,24.9604,0
111,24.9312,0
112,25.0697,0
113,25.0272,0
114,25.0307,0
115,25.0625,0
116,24.8789,0
117,24.9781,0
118,25.0126,0
119,24.9333,0
120,24.9898,0
121,24.8979,0
122,24.9044,0
123,24.9809,0
124,25.0201,0
125,25.0333,0
126,24.9958,0
127,24.9982,0
128,24.9681,0
129,24.9969,0
130,24.9636,0
131,24.9906,0
132,25.0675,0
133,25.0511,0
134,24.9913,0
135,25.0282,0
136,25.0376,0
137,25.0227,0
138,24.9972,0
139,25.0224,0
140,25.0225,0
141,24.9921,0
142,25.0637,0
143,24.9409,0
144,24.8983,0
145,24.993,0
146,25.0802,0
147,24.9869,0
148,25.0224,0
149,25.0142,0
150,24.9715,0
151,24.9755,0
152,25.0024,0
153,25.1556,0
154,24.9622,0
155,24.9621,0
156,24.9149,0
157,24.9936,0
158,24.9971,0
159,25.064,0
160,25.0323,0
161,24.9638,0
162,25.0386,0
163,24.8547,0
164,24.9331,0
165,24.9489,0
166,24.9823,0
167,25.0686,0
168,24.9287,0
169,25.0192,0
170,24.9309,0
171,25.0041,0
172,25.0168,0
173,25.0326,0
174,25.0255,0
175,25.0387,0
176,25.1412,0
177,24.9246,0
178,24.9881,0
179,24.9919,0
180,24.9161,0
181,24.9852,0
182,24.9322,0
183,24.9714,0
184,24.9083,0
185,24.9214,0
186,24.9896,0
187,25.0346,0
188,24.9772,0
189,25.062,0
190,25.0156,0
191,24.8051,0
192,25.0872,0
193,24.985,0
194,25.0604,0
195,25.0822,0
196,24.941,0
197,24.986,0
198,24.9887,0
199,25.0657,0
200,25.0672,0
201,24.9647,0
202,24.9322,0
203,24.9953,0
204,24.9756,0
205,24.8636,0
206,24.9458,0
207,25.0649,0
