Time_Seconds,SNR_dB,Label
0,24.9447,0
1,25.0818,0
2,25.0894,0
3,24.9565,0
4,25.0255,0
5,24.9474,0
6,24.8641,0
7,25.0516,0
8,24.9505,0
9,25.0307,0
10,24.8787,0
11,25.0638,0
12,25.0277,0
13,25.0125,0
14,24.903,0
15,24.8919,0
16,25.0061,0
17,24.9722,0
18,25.0067,0
19,24.9542,0
20,24.9468,0
21,25.1332,0
22,25.0041,0
23,24.8925,0
24,24.904,0
25,25.084,0
26,25.0229,0
27,25.0159,0
28,25.051,0
29,25.027,0
30,25.0455,0
31,25.0083,0
32,24.9597,0
33,24.9609,0
34,25.0618,0
35,25.0117,0
36,25.0357,0
37,25.0832,0
38,25.0309,0
39,25.1021,0
40,24.9234,0
41,24.9846,0
42,24.987,0
43,25.0767,0
44,24.9767,0
45,24.9515,0
46,25.1164,0
47,24.9905,0
48,24.9979,0
49,24.9814,0
50,25.0035,0
51,25.0254,0
52,25.0044,0
53,25.1299,0
54,25.0283,0
55,25.0268,0
56,25.0317,0
57,24.9901,0
58,25.0174,0
59,25.002,0
60,25.1099,0
61,25.0511,0
62,25.0233,0
63,24.8879,0
64,24.9496,0
65,25.0038,0
66,24.9521,0
67,24.9494,0
68,24.9911,0
69,25.0322,0
70,25.0625,0
71,24.9699,0
72,25.0159,0
73,24.9723,0
74,25.0537,0
75,25.075,0
76,24.9597,0
77,24.9681,0
78,25.0724,0
79,25.1295,0
80,25.006,0
81,25.0705,0
82,25.0527,0
83,25.0489,0
84,24.9601,0
85,24.9189,0
86,25.0202,0
87,24.9061,0
88,24.9447,0
89,24.9451,0
90,25.0693,0
91,25.023,0
92,25.0486,0
93,24.9424,0
94,24.958,0
95,25.035,0
96,24.9703,0
97,24.9471,0
98,24.8986,0
99,25.0484,0
100,25.0922,0
101,25.098,0
102,24.9777,0
103,25.0386,0
104,24.9333,0
105,25.0838,0
106,25.0375,0
107,24.9547,0
108,25.0581,0
109,25.1738,0
110,24.9324,0
111,25.0815,0
112,25.145,0
113,25.0164,0
114,25.0246,0
115,25.102,0
116,25.1333,0
117,25.0796,0
118,24.999,0
119,25.0095,0
120,25.0538,0
121,25.0146,0
122,24.9578,0
123,25.0074,0
124,24.9899,0
125,25.0266,0
126,25.0136,0
127,24.9711,0
128,25.083,0
129,24.967,0
130,24.9671,0
131,24.8723,0
132,24.9306,0
133,25.0284,0
134,24.9263,0
135,25.044,0
136,25.0373,0
137,24.9412,0
138,25.0321,0
139,25.0597,0
140,25.0232,0
141,25.0252,0
142,25.0286,0
143,25.102,0
144,24.8951,0
145,25.0279,0
146,24.8832,0
147,24.9623,0
148,25.0913,0
149,24.9999,0
150,24.9691,0
151,24.9708,0
152,25.0333,0
153,24.9452,0
154,24.9905,0
155,25.0335,0
156,24.9397,0
157,25.0712,0
158,25.0655,0
159,24.9795,0
160,25.0367,0
161,24.9867,0
162,25.0322,0
163,25.0964,0
164,25.1025,0
165,25.0548,0
166,24.9991,0
167,24.9722,0
168,24.9826,0
169,24.9681,0
170,24.923,0
171,24.9352,0
172,25.047,0
173,25.0833,0
174,25.0062,0
175,24.8827,0
176,25.0405,0
177,25.0713,0
178,24.9735,0
179,24.9849,0
180,24.9598,0
181,25.0005,0
182,25.0056,0
183,25.0301,0
184,24.8421,0
185,24.9781,0
186,25.0278,0
187,25.0317,0
188,24.9177,0
189,25.1066,0
190,24.9757,0
191,25.0539,0
192,25.0088,0
193,24.9968,0
194,24.9253,0
195,25.0888,0
196,25.0116,0
197,24.9125,0
198,25.0088,0
199,24.9771,0
200,25.0852,0
201,24.9648,0
202,25.0196,0
203,24.9496,0
204,24.9593,0
205,24.9938,0
206,24.9813,0
207,25.054,0
208,24.9258,0
209,24.9956,0
210,24.968,0
211,24.9945,0
212,25.0878,0
213,24.9999,0
214,25.0871,0
215,25.0901,0
216,24.9753,0
217,25.0303,0
218,25.0967,0
219,25.0067,0
220,24.8688,0
221,25.0015,0
222,25.1083,0
223,25.0257,0
224,25.0675,0
225,24.953,0
226,25.0044,0
227,25.0485,0
228,24.9616,0
229,24.9908,0
230,25.0257,0
231,25.0032,0
232,24.9793,0
233,24.9743,0
234,24.948,0
235,25.1044,0
236,25.0259,0
237,24.9076,0
238,24.8844,0
239,24.8488,0
240,25.075,0
241,24.9493,0
242,25.0586,0
243,25.0612,0
244,24.958,0
245,24.896,0
246,24.9411,0
247,25.0906,0
248,24.9384,0
249,24.9812,0
250,24.9564,0
251,25.0331,0
252,25.031,0
253,25.0508,0
254,24.9505,0
255,24.946,0
256,25.0804,0
257,25.0648,0
258,25.0594,0
259,24.9869,0
260,24.9873,0
261,25.0537,0
262,25.0173,0
263,25.0957,0
264,24.9509,0
265,25.028,0
266,25.0541,0
267,24.9008,0
268,25.0416,0
269,25.0476,0
270,25.0273,0
271,24.9455,0
272,25.0344,0
273,24.9669,0
274,24.9597,0
275,24.9649,0
276,25.0549,0
277,25.0969,0
278,24.9558,0
279,25.0525,0
280,25.1025,0
281,24.9433,0
282,24.8735,0
283,24.9879,0
284,24.9808,0
285,24.9452,0
286,25.0307,0
287,25.0408,0
288,24.952,0
289,24.9139,0
290,24.9893,0
291,24.9607,0
292,25.0366,0
