Time_Seconds,SNR_dB,Label
0,24.9357,0
1,24.9672,0
2,25.0997,0
3,24.9611,0
4,25.04,0
5,24.9816,0
6,24.9635,0
7,25.0362,0
8,24.9802,0
9,24.9144,0
10,24.923,0
11,25.0669,0
12,24.9847,0
13,24.8941,0
14,25.0291,0
15,25.0166,0
16,24.9462,0
17,25.085,0
18,25.0424,0
19,25.0615,0
20,24.9776,0
21,25.0293,0
22,24.9705,0
23,24.9497,0
24,24.9635,0
25,25.1616,0
26,25.1185,0
27,24.958,0
28,25.0288,0
29,24.9144,0
30,25.0211,0
31,24.9795,0
32,25.0433,0
33,24.971,0
34,24.9793,0
35,24.9222,0
36,24.957,0
37,25.0513,0
38,25.0483,0
39,24.9809,0
40,24.8387,0
41,25.033,0
42,24.9477,0
43,24.9251,0
44,24.9928,0
45,24.9639,0
46,25.0198,0
47,24.9947,0
48,25.0232,0
49,24.8818,0
50,25.0537,0
51,24.9878,0
52,24.9725,0
53,25.1338,0
54,25.1059,0
55,24.9814,0
56,24.982,0
57,25.0649,0
58,24.9909,0
59,25.006,0
60,25.0541,0
61,24.9704,0
62,24.9906,0
63,25.0048,0
64,24.9032,0
65,25.0709,0
66,25.0283,0
67,24.9937,0
68,25.0798,0
69,24.9525,0
70,25.0041,0
71,24.9611,0
72,24.9452,0
73,24.9625,0
74,24.9256,0
75,25.0537,0
76,24.9938,0
77,24.9669,0
78,25.0611,0
79,24.8761,0
80,24.9619,0
81,24.9492,0
82,25.0473,0
83,24.9951,0
84,25.0568,0
85,24.9872,0
86,25.0552,0
87,24.9518,0
88,24.9067,0
89,24.9973,0
90,25.0004,0
91,24.9894,0
92,24.946,0
93,24.9552,0
94,25.0078,0
95,25.0144,0
96,25.0056,0
97,24.9535,0
98,24.9032,0
99,24.9849,0
100,25.0298,0
101,24.9744,0
102,25.0437,0
103,25.0215,0
104,25.032,0
105,24.9049,0
106,24.9218,0
107,24.841,0
108,25.0448,0
109,25.0771,0
110,24.9825,0
111,25.1065,0
112,25.0061,0
113,25.0103,0
114,24.935,0
115,24.9684,0
116,25.0353,0
117,24.9042,0
118,25.0164,0
119,24.9484,0
120,24.9741,0
121,25.0342,0
122,24.9638,0
123,24.8916,0
124,24.9628,0
125,24.9349,0
126,24.8788,0
127,24.9339,0
128,25.0071,0
129,25.0491,0
130,24.9507,0
131,24.9911,0
132,25.0083,0
133,24.9191,0
134,25.0037,0
135,24.9347,0
136,24.9843,0
137,25.1023,0
138,24.9944,0
139,24.9315,0
140,25.0355,0
141,25.072,0
142,25.0557,0
143,24.9794,0
144,24.9705,0
145,25.1623,0
146,25.0239,0
147,25.0463,0
148,24.9685,0
149,24.9591,0
150,25.1251,0
151,25.0483,0
152,25.0194,0
153,25.0894,0
154,24.9645,0
155,25.0068,0
156,24.9793,0
157,25.0379,0
158,25.135,0
159,24.969,0
160,25.0696,0
161,25.0205,0
162,25.05,0
163,25.0533,0
164,24.9415,0
165,24.9927,0
166,25.0366,0
167,24.9281,0
168,24.985,0
169,24.9502,0
170,25.0163,0
171,25.0144,0
172,24.9885,0
173,25.0767,0
174,24.9077,0
175,24.9821,0
176,25.0567,0
177,24.9544,0
178,24.9772,0
179,25.0043,0
180,25.0672,0
181,24.9797,0
182,25.0507,0
183,24.9759,0
184,24.888,0
185,25.021,0
186,24.9086,0
187,24.8704,0
188,25.0235,0
189,24.9827,0
190,24.9747,0
191,25.0235,0
192,24.9461,0
193,25.0151,0
194,25.0527,0
195,24.9493,0
196,24.9714,0
197,24.8824,0
198,25.025,0
199,24.9365,0
200,24.9849,0
201,25.0327,0
202,24.9759,0
203,25.1036,0
204,24.9459,0
205,25.0086,0
206,25.015,0
207,25.0803,0
208,25.0122,0
209,24.9899,0
210,24.9486,0
211,25.0227,0
212,24.9713,0
213,24.9059,0
214,24.9557,0
215,24.9696,0
216,24.9802,0
217,25.0772,0
218,25.0658,0
219,25.0517,0
220,24.9964,0
221,24.9074,0
222,24.9629,0
223,25.045,0
224,25.0447,0
225,25.0923,0
226,25.0588,0
227,24.9971,0
228,24.924,0
229,24.9152,0
230,25.0089,0
231,25.0484,0
232,25.0168,0
233,24.9969,0
234,24.9774,0
235,24.9756,0
236,25.0299,0
237,24.9749,0
238,24.9442,0
239,24.8811,0
240,24.9112,0
241,25.0048,0
242,25.0082,0
243,24.9739,0
244,24.8929,0
245,25.044,0
246,25.0388,0
247,25.0288,0
248,24.9792,0
249,25.0138,0
250,25.0483,0
251,24.924,0
252,25.0267,0
253,25.0704,0
254,24.958,0
255,24.9978,0
256,24.969,0
257,25.0124,0
258,24.9853,0
259,25.0377,0
260,24.9582,0
261,24.9596,0
262,25.0136,0
263,25.0024,0
264,24.9328,0
265,24.9542,0
266,24.9345,0
267,25.0001,0
268,24.9819,0
269,25.1186,0
270,25.0143,0
271,24.962,0
272,24.9759,0
273,25.0679,0
274,24.979,0
275,25.0087,0
276,24.9246,0
277,24.977,0
278,24.9225,0
279,24.9454,0
280,24.9481,0
281,24.9791,0
282,25.0615,0
283,25.008,0
284,25.0965,0
285,25.057,0
286,25.0169,0
287,25.0422,0
288,25.0661,0
289,25.0264,0
290,25.0748,0
291,25.0314,0
292,25.0608,0
293,25.0211,0
294,24.9909,0
295,24.9063,0
296,24.9405,0
297,25.0675,0
298,24.9859,0
299,25.0004,0
300,24.9734,0
301,25.0997,0
302,25.04,0
303,24.9969,0
304,24.9891,0
305,25.0312,0
306,24.9667,0
307,24.9178,0
308,25.0033,0
309,24.9048,0
310,24.9848,0
311,24.9854,0
312,25.0081,0
313,24.9092,0
314,25.0045,0
315,25.0687,0
316,24.996,0
317,24.9493,0
318,24.8947,0
319,25.0412,0
320,24.9798,0
321,24.9389,0
322,25.0047,0
323,24.9357,0
324,24.9813,0
325,24.9974,0
326,25.0037,0
327,25.0158,0
328,25.0015,0
329,24.9436,0
330,25.0383,0
331,25.1081,0
332,25.016,0
333,25.1046,0
334,24.975,0
335,25.0192,0
336,24.9442,0
337,25.0149,0
338,25.0672,0
339,24.9316,0
340,24.9975,0
341,25.0098,0
342,25.0288,0
343,25.0091,0
344,24.9681,0
345,24.9192,0
346,24.9957,0
347,25.1134,0
348,25.015,0
349,25.0373,0
350,24.9959,0
351,24.9451,0
352,25.0211,0
353,24.9409,0
354,25.03,0
355,24.9733,0
356,25.0807,0
357,24.9173,0
358,24.9767,0
359,25.022,0
360,25.0528,0
361,24.9414,0
362,25.045,0
363,24.92,0
364,25.0784,0
365,25.0089,0
366,25.0042,0
367,24.9432,0
368,25.0259,0
369,25.0437,0
370,25.021,0
371,24.9735,0
372,24.9987,0
373,25.0684,0
374,25.0639,0
375,24.897,0
376,24.9167,0
377,25.0005,0
378,24.9573,0
379,25.0372,0
380,24.9232,0
381,24.9281,0
382,24.9695,0
383,25.0454,0
384,24.9611,0
385,25.0457,0
386,25.0749,0
387,24.9626,0
388,24.9167,0
389,25.0684,0
390,24.9111,0
391,24.9837,0
392,24.9267,0
393,25.0129,0
394,25.0253,0
395,24.9042,0
396,25.0218,0
397,25.0295,0
398,25.0919,0
399,24.9885,0
400,24.973,0
401,24.9453,0
402,25.1032,0
403,24.9627,0
404,25.0979,0
405,25.0793,0
406,25.0215,0
407,25.0766,0
408,25.0009,0
409,24.986,0
410,24.9129,0
411,24.9156,0
412,25.0164,0
413,24.9256,0
414,24.9225,0
415,25.011,0
416,25.1297,0
417,25.0643,0
418,25.0569,0
419,24.8815,0
420,24.9682,0
421,24.965,0
422,24.9004,0
423,25.0262,0
424,24.9817,0
425,24.9431,0
426,24.9796,0
427,25.0421,0
428,24.9962,0
429,25.0121,0
430,25.0531,0
431,25.0493,0
432,24.9475,0
433,25.0465,0
434,24.9779,0
435,25.1001,0
436,25.0479,0
437,24.966,0
438,24.9051,0
439,25.044,0
440,25.001,0
441,24.9683,0
442,25.0706,0
443,25.0024,0
444,24.981,0
445,24.9706,0
446,25.0003,0
447,25.0116,0
448,24.9125,0
449,24.9959,0
450,24.8818,0
451,24.9177,0
452,24.9695,0
453,24.9618,0
454,25.0234,0
455,24.8595,0
456,24.8889,0
457,24.9548,0
458,25.019,0
459,25.0565,0
460,24.9294,0
461,24.9259,0
462,25.0134,0
463,25.0442,0
464,24.9164,0
465,24.9323,0
466,25.033,0
467,24.9777,0
468,24.9528,0
469,24.962,0
470,25.0931,0
471,24.9617,0
472,24.9413,0
473,24.9109,0
474,24.9164,0
475,24.9893,0
476,24.9658,0
477,25.0117,0
478,25.1062,0
479,25.0102,0
480,24.9236,0
481,24.9247,0
482,24.9953,0
483,24.9795,0
484,25.0018,0
485,25.0986,0
486,25.003,0
487,24.9209,0
488,25.0781,0
489,25.0739,0
490,24.9628,0
491,24.9845,0
492,25.0077,0
493,24.9549,0
494,24.9383,0
495,24.9593,0
496,24.9948,0
497,25.1056,0
498,24.9591,0
499,25.0091,0
500,11.9502,1
501,11.9806,1
502,12.0053,1
503,11.9626,1
504,11.9622,1
505,12.0517,1
506,11.9534,1
507,11.9876,1
508,12.0439,1
509,12.0847,1
510,12.0147,1
511,11.9851,1
512,12.025,1
513,12.0601,1
514,12.125,1
515,12.0083,1
516,11.9048,1
517,12.0082,1
518,11.9091,1
519,11.9738,1
520,11.9536,1
521,12.0205,1
522,12.0809,1
523,11.8979,1
524,11.9797,1
525,12.0455,1
526,12.0159,1
527,11.9557,1
528,12.0318,1
529,12.0377,1
530,11.9733,1
531,12.1321,1
532,12.0324,1
533,12.0521,1
534,11.9338,1
535,11.9975,1
536,12.0015,1
537,11.9683,1
538,12.0257,1
539,11.9463,1
540,12.0145,1
541,12.0054,1
542,11.9608,1
543,12.0687,1
544,12.1005,1
545,12.0226,1
546,11.9689,1
547,12.0054,1
548,11.9454,1
549,12.0114,1
550,12.0372,1
551,11.9683,1
552,12.1514,1
553,11.9798,1
554,12.0134,1
555,12.0525,1
556,11.9462,1
557,11.9941,1
558,12.0926,1
559,11.9637,1
560,11.9665,1
561,12.0135,1
562,11.9406,1
563,11.9913,1
564,11.9515,1
565,12.0441,1
566,12.053,1
567,12.0121,1
568,11.9355,1
569,11.9043,1
570,11.8931,1
571,12.029,1
572,12.0358,1
573,12.0602,1
574,12.0276,1
575,12.0906,1
576,11.9197,1
577,12.0115,1
578,11.971,1
579,11.9443,1
580,12.044,1
581,12.0515,1
582,12.0341,1
583,12.0169,1
584,12.1061,1
585,12.018,1
586,11.9458,1
587,11.9614,1
588,11.9848,1
589,12.0494,1
590,11.9743,1
591,11.9233,1
592,12.0103,1
593,12.0201,1
594,12.0685,1
595,12.0079,1
596,12.0835,1
597,12.0479,1
598,12.0874,1
599,11.9978,1
600,12.0366,1
601,11.9277,1
602,12.0405,1
603,12.0711,1
604,12.09,1
605,12.0587,1
606,12.1513,1
607,12.0784,1
608,11.9349,1
609,11.998,1
610,11.9418,1
611,11.9758,1
612,11.9613,1
613,12.0208,1
614,11.845,1
615,11.9679,1
616,11.9501,1
617,12.0119,1
618,11.8634,1
619,12.0238,1
620,12.0727,1
621,12.0103,1
622,12.0095,1
623,11.9451,1
624,11.9754,1
625,12.0488,1
626,11.9456,1
627,12.066,1
628,12.0025,1
629,12.0315,1
630,11.9492,1
631,11.9452,1
632,12.0745,1
633,11.9899,1
634,11.9872,1
635,12.0316,1
636,12.0193,1
637,11.9691,1
638,12.0642,1
639,11.9613,1
